PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,T_RH_Interaction,CO(GT)
0.06958499685242202,0.05076685319715041,0.18361167733544664,-0.6066390696464404,0.16561730568451657,-0.4133963398580405,0.3698491461408519,-0.11306424997837725,0.06158822826735748,-0.8535986623899556,-0.6956128872346076,-0.47304477477277596,2.1
-1.0882829567973342,-1.0289932920280824,-1.1175640204284185,-1.2175336008733573,1.3019171799987577,-1.6475318737975266,0.19190850642748294,-1.2072385931675138,0.7498096290715123,-0.0324399523670509,1.181739479705929,1.1840027865866123,0.5
0.11246899513574632,-0.25984907899093024,-0.13100095406417445,1.1746608718750366,-0.402532631472604,0.13755702350780155,-0.26777147949872016,-0.12836738764535818,-0.5922221024965895,2.069959298117125,0.6306490323691325,0.8622717547182767,2.3
-0.19248388154567095,-0.06756302573164233,0.06320437396028301,-0.8178829729678976,0.1699543281055633,-0.5015488779965752,0.6278630737252369,-0.6002141323772703,1.9771377938389219,-1.5757524215590355,0.5641690948469011,-0.06303682999682901,1.6
-0.5927345321900311,-0.9550371176975871,-1.001040823613744,-0.9206502772864443,1.8657300947348314,-1.140654779500952,-0.30929096209850626,-0.5900120405992829,-1.1657399365000518,1.0216715831942675,-0.7456653498478707,-0.8290487297658715,1.1
-0.43072831645302817,-0.49650883684851554,-0.4028884132984149,-0.8521387410740798,0.7771374670521043,-0.2811675326502384,-0.015688906571447486,-0.4879911228194101,-0.06458569521340399,-0.5857029130207813,-0.5901176968035765,-0.3464521819633666,1.6
-0.8071545236066526,0.021184383464952092,0.16030703797251175,-0.595220480277713,0.17862837294765674,-0.060786187303901576,0.44695675668331175,-0.5619562882098179,1.139801756193867,-1.3427995960206227,-0.10833065923898982,-0.2076709791694479,1.8
-0.8595682992862712,-0.6296299506434073,-0.5466003560365135,0.2897201957986618,0.625341682315469,0.5783197142004752,-1.5667381494063135,-0.07735692875542174,-1.3836767134213672,-0.3178071636516065,-1.503639309319487,-1.6121367514439051,1.5
-0.9929851828343913,-1.0881582314924787,-1.2224348975616255,-0.5324182387497122,0.5819714581050018,-0.23709126358097102,-1.6675711785772225,-1.3577194468928264,-0.2595817587745813,-0.9060130481360988,-1.03545627441389,-0.8043094718765211,0.8
0.16488277081536493,-0.4669263671163174,-0.3640473476935234,-0.8521387410740798,0.8118336464204781,-0.2811675326502384,0.2986728902555043,0.3230751735305793,-0.29399282881478894,0.7304805512712511,0.1758133208270718,0.4626422303251795,1.4
0.5031898683838122,1.633428983869752,1.4809032685388226,0.07276699779284089,-0.7234722906300614,0.9088917322199804,1.2387926034078036,2.508873336964356,1.8739045837182988,-1.802881426458988,-0.11577435880711615,-0.5246351784200806,3.9
2.649772226899101,1.8848799765934363,1.6556880637608342,0.4667083310139368,-0.6497429094722671,0.9529680012892477,2.0691822554035255,1.1188383322135877,-0.5578110324563816,0.7421281925481719,-0.17609399323848413,0.04442809268837498,4.8
0.3221240978542207,-0.5113000717146148,-0.41454073297988236,-0.1384769055286163,-0.6540799318933138,0.4901671760619405,-1.0655386808803242,0.8510334230414215,-1.5786727769825446,1.1730909197942354,-1.0677978656409213,-1.5180672318109836,1.4
-0.9929851828343913,-1.0437845268941814,-1.133100446670375,-0.29833715669080013,0.937607296630833,-0.08282432183853526,-0.5702705670114474,-1.4189319975607502,1.6100863800767058,-1.2845613896360195,0.6627339443007111,0.20770719475808938,0.9
0.6175471971393437,0.8494935359665008,0.8905190713444718,-0.37255798758752834,-0.697450156103781,0.313862099784871,1.1498222835511192,0.986211139099753,1.4495013865557365,-1.1156705911206704,0.730753957595658,0.361362122112313,2.6
-0.7642705253233283,-1.2064881104212715,-1.4205243321465721,-0.8978130985489895,0.6817229737890764,-0.9202734341546152,-1.637914405291661,-1.1868344096115393,-1.085447439739567,-0.014968490451669692,-1.1602024120038683,-1.1399186240242494,0.8
0.06958499685242202,0.06555808806324943,0.1952639970169141,0.11844135526775056,-0.697450156103781,-1.140654779500952,0.41433430606919414,0.027214511968947957,0.06158822826735748,1.5982298264018386,1.5713786502030214,1.864030680276814,2.3
0.49842497968566507,0.938240945163095,0.9526647763122983,1.2374631134030374,-1.1701855999978736,-0.3693200707887731,0.41433430606919414,0.4403992289774331,-0.2251706887343735,1.219681484901918,0.6763379469597002,0.9767360771965647,2.9
0.18870721430610063,-0.06756302573164233,0.07097258708126132,-0.418232345062438,-0.6627539767354073,-1.1847310485702194,0.20970257039881984,0.20065007219473185,0.31393607522888123,0.7654234751020131,1.2659302886143915,1.4817186364062631,1.7
-0.40690387296229247,-0.5852562460451102,-0.49999107731064363,-0.9948711081831726,0.061528767579395245,-0.9863878377585162,0.6604855243393545,-0.5517541964318307,0.6695171323110276,0.3169892859405683,1.4979683717035694,1.5110135381264571,1.1
1.6229387124483912,1.3967692260121667,1.3100025798773,1.2717188815092197,-1.4087218331554434,-0.10486245637316893,1.2773464086790336,1.1902529746594988,0.4630507120697811,1.132324175325013,2.0031132251543458,2.141140538464236,3.9
-1.0120447376269799,-0.37817895791972295,-0.26306057712080555,-0.7379528473868057,1.3062542024198043,-0.721930223342912,-0.6177214042683458,-1.0975661065541504,0.9103946225924819,-2.094072458382004,-1.4569236775471086,-1.3674594569528873,1.2
-0.2210732137345538,-0.34859648818752476,-0.2281036180764032,0.044220524371022356,-0.3288032503148097,-0.6117395506697436,-0.2351490288846025,-0.3783186362060467,-0.6725145992570741,1.8603017551325531,0.35138195891667084,0.5536947672886673,1.8
0.5889578649504608,0.6572074827072126,0.7312707023644167,1.1974980506124915,-1.0140527928401917,-0.58970141613511,0.37281482346940803,0.26951419169614604,-0.3742853255752738,1.4759295929941723,0.6060078200056799,0.8967860364565898,2.8
-0.916746963664037,-0.33380525332142574,-0.2047989787134683,-0.1898605576878897,0.22199859715812395,-0.5235870125312089,-0.47240321516909445,-0.21508516775825012,-0.2595817587745813,0.1772175906175207,-0.19508826110197894,0.07109821948616257,1.4
-0.8357438557955355,-1.1769056406890732,-1.3622627337392348,-0.6751506058588049,0.7381042652626838,-0.3032056671848721,-1.2494106752508054,-0.6792803436566718,-1.4754395668619213,1.9767781679017595,-0.6730251092347763,-1.1225408038483153,0.8
2.00889469699831,1.529890339807058,1.410989350450018,0.18124359679575136,-0.8405718959983228,0.6003578487351089,1.8882759383616001,0.886740744264377,-0.4431074656556892,1.5982298264018386,0.5829066834149428,0.851169258494763,5.2
-0.14959988326234663,-0.23026660925873216,-0.09604399501977211,-0.3611393982188009,-0.10327808442038018,-0.2591293981156047,0.008036512057001706,-0.12326634175636454,-0.08752640857354241,0.014150612740631908,-0.06841702879610596,0.16151719008907045,2.4
